Shortbred_ID	ShortBRED_ARG_Family_Name	DbAcc_ID	Db_Name	Marker_Source	Product_Name	Description	Seq_Type	Database_Source	AMR_Family	AMR_Class	Drug_Targets	AMR_Mechanism	ShortBRED_Analysis	TD_Analysis
MF5588	DLFM12_03813|DFP06SR1_FOX_36|gene-2|+|875-1204|complete	RF0093	Resfams	FxnlSlxns	marR	PF12802.2 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4359	DLFM10_02052|F17_CHL_56|gene-3|-|865-2097|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF5589	DLFM12_03823|DFP06SR1_FOX_55|gene-1|-|34-486|complete	RF0092	Resfams	FxnlSlxns	marR	PF01047.17 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4361	DLFM10_02112|F17_CHL_170|gene-3|+|983-1600|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF5591	DLFM12_03856|DFP06SR1_FOX_117|gene-2|+|560-928|complete	RF0092	Resfams	FxnlSlxns	marR	PF01047.17 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF6186	DLFM12_06499|DFP09SR2_FOX_184|gene-1|-|22-495|complete	RF0093	Resfams	FxnlSlxns	marR	PF12802.2 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF6187	DLFM12_06579|DFP09SR2_FOX_366|gene-1|+|73-705|complete	RF0093	Resfams	FxnlSlxns	marR	PF12802.2 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4365	DLFM10_02171|F3_CAZ_5|gene-1|-|20-2017|complete	RF0148	Resfams	FxnlSlxns	Transpeptidase	PF00905.17 Penicillin binding protein transpeptidase domain	HMM	Pfam	Penicillin_binding_protein_transpeptidase_domain	Penicillin_binding_protein_transpeptidase_domain	NA	Antibiotic_target_protection	No	No
MF4366	DLFM10_02240|F4_AMX_25|gene-3|+|2735-3661|complete	RF0053	Resfams	FxnlSlxns	bla_class_A	Class A beta-lactamase	HMM	Resfams	Unknown_Class_A_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4367	DLFM10_02259|F21_AMX_7|gene-2|+|458-1183|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF4368	DLFM10_02319|F2_CAZ_3|gene-2|-|185-2152|complete	RF0148	Resfams	FxnlSlxns	Transpeptidase	PF00905.17 Penicillin binding protein transpeptidase domain	HMM	Pfam	Penicillin_binding_protein_transpeptidase_domain	Penicillin_binding_protein_transpeptidase_domain	NA	Antibiotic_target_protection	No	No
MF4369	DLFM10_02325|F21_AMP_2|gene-2|+|1269-2663|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4370	DLFM10_02343|F16_AMX_5|gene-3|+|1099-1773|complete	RF0038	NCBI-AMR	FxnlSlxns	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	HMM	NCBI-AMR	ACT_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4371	DLFM10_02358|F6_CAZ_14|gene-2|+|276-1184|complete	RF0161	Resfams	FxnlSlxns	VEB-PER	VEB and PER beta-lactamases (class a)	HMM	Resfams	VEB_PER_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4372	DLFM10_02409|F12_CHL_63|gene-1|-|22-1173|complete	RF0045	Resfams	FxnlSlxns	cat	PF00302.13 Chloramphenicol acetyltransferase	HMM	Pfam	Unkown_chloramphenicol_acetyltransferase	Chloramphenicol_acetyltransferase	Phenicol	Antibiotic_inactivation	Yes	Yes
MF4373	DLFM10_02446|F5_AMX_1|gene-2|-|250-1104|complete	RF0126	Resfams	FxnlSlxns	blaTEM	TEM beta-lactamase (class a)	HMM	Resfams	TEM_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4374	DLFM10_02480|F4_CAZ_3|gene-2|-|911-2677|complete	RF0148	Resfams	FxnlSlxns	Transpeptidase	PF00905.17 Penicillin binding protein transpeptidase domain	HMM	Pfam	Penicillin_binding_protein_transpeptidase_domain	Penicillin_binding_protein_transpeptidase_domain	NA	Antibiotic_target_protection	No	No
MF7224	DLFM13_00519|CBP02SR2_CHL_276|gene-2|-|270-704|complete	RF0092	Resfams	FxnlSlxns	marR	PF01047.17 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7341	DLFM14_00243|WC1_CHL_4|gene-4|-|1133-1597|complete	RF0092	Resfams	FxnlSlxns	marR	PF01047.17 MarR family	HMM	Pfam	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF0334	446118531|WP_000196386_1|FR821779_1|1|1|mecI_of_mecC|mecI_of_mecC||mecC-type_methicillin_resistance_repressor_MecI	WP_000196386.1	NCBI-AMR	ARDatabase	mecI	mecC-type methicillin resistance repressor MecI	Protein	NCBI-AMR	Methicillin_Resistant_PBP2_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF6849	gb|BAB41258_1|ARO_3000124|mecI__Staphylococcus_aureus	ARO:3000124	CARD	ARDatabase	mecI	determinant of antibiotic resistance|determinant of beta-lactam resistance	Protein	CARD	Methicillin_Resistant_PBP2_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4379	DLFM10_02568|F13_AMP_7|gene-3|+|535-1230|complete	WP_063860263.1	NCBI-AMR	FxnlSlxns	blaEC	BlaEC family class C beta-lactamase	HMM	NCBI-AMR	BlaEC_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF7884	446291359|WP_000369214_1|JBTS01000004_1|1|1|mecI_of_mecA|mecI_of_mecA||mecA-type_methicillin_resistance_repressor_MecI	WP_000369214_1	NCBI-AMR	ARDatabase	mecI	mecA-type_methicillin_resistance_repressor_MecI	Protein	NCBI-AMR	Methicillin_Resistant_PBP2_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4381	DLFM10_02611|F9_AMX_31|gene-1|+|170-3091|complete	RF0017	Resfams	FxnlSlxns	acr_unclassified	PF00873.14 AcrB/AcrD/AcrF family	HMM	Pfam	Unknown_RND_efflux_pump	RND_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4382	DLFM10_02618|F9_AMX_41|gene-2|-|323-925|complete	RF0038	Resfams	FxnlSlxns	beta-lactamase	PF00144.19 Beta-lactamase	HMM	Pfam	Unknown_beta_lactamase	Unclassified_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF7146	gb|YP_001245420_1|ARO_3000215|mecR1__Staphylococcus_aureus	ARO:3000215	CARD	ARDatabase	mecR1	determinant of antibiotic resistance|determinant of beta-lactam resistance	Protein	CARD	Methicillin_Resistant_PBP2_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4384	DLFM10_02651|F16_AMC_26|gene-2|+|574-1815|complete	RF0141	Resfams	FxnlSlxns	EmrB	"TIGR00711 efflux EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family"	HMM	TIGRFam	EmrAB_tolC_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	Yes
MF4385	DLFM10_02655|F21_TET_3|gene-2|+|618-1790|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF7902	446875667|WP_000952923_1|BA000017_4|1|1|mecR1|mecR1|regulation|beta-lactam_sensor_signal_transducer_MecR1	WP_000952923_1	NCBI-AMR	ARDatabase	mecR1	beta-lactam_sensor_signal_transducer_MecR1	Protein	NCBI-AMR	Methicillin_Resistant_PBP2_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7149	gb|YP_001440920_1|ARO_3000746|mepR__Staphylococcus_aureus	ARO:3000746	CARD	ARDatabase	mepR	determinant of antibiotic resistance	Protein	CARD	MATE_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7451	gb|BAB56495_1|ARO_3000746|mepR__Staphylococcus_aureus	ARO:3000746	CARD	ARDatabase	mepR	mepR__Staphylococcus_aureus	Protein	CARD	MATE_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7066	gb|NP_252368_1|ARO_3003710|mexL__Pseudomonas_aeruginosa	ARO:3003710	CARD	ARDatabase	mexL	determinant of antibiotic resistance	Protein	CARD	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7401	gb|AAG07066_1|ARO_3003710|mexL__Pseudomonas_aeruginosa	ARO:3003710	CARD	ARDatabase	mexL	mexL__Pseudomonas_aeruginosa	Protein	CARD	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF7114	gb|WP_001283444_1|ARO_3000815|mgrA__Staphylococcus_	ARO:3000815	CARD	ARDatabase	mgrA	determinant of antibiotic resistance	Protein	CARD	Efflux_Pump_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4392	DLFM10_02729|F11_PEN_10|gene-4|-|1558-2703|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4393	DLFM10_02748|F1_PEN_9|gene-3|+|1138-2283|complete	ARO:3002079	CARD	FxnlSlxns	blaCMY	CMY-LAT beta-lactamase|CMY-MOX beta-lactamase|CMY-LAT-MOX beta-lactamase|class C beta-lactamase|beta-lactamase|determinant of beta-lactam resistance|antibiotic inactivation enzyme|determinant of antibiotic resistance	Protein	CARD	CMY_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4394	DLFM10_02789|F11_TET_11|gene-2|+|469-1569|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4395	DLFM10_02828|F14_AMC_69|gene-1|-|18-776|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF4396	DLFM10_02844|F4_ATM_3|gene-1|-|298-1212|complete	ARO:3001975	CARD	FxnlSlxns	blaCTX-M	class A beta-lactamase|beta-lactamase|determinant of beta-lactam resistance|antibiotic inactivation enzyme|determinant of antibiotic resistance	Protein	CARD	CTX_M_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4397	DLFM10_02846|F4_ATM_5|gene-2|-|277-1203|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF4398	DLFM10_02878|F7_ATM_5|gene-2|+|282-1175|complete	RF0161	Resfams	FxnlSlxns	VEB-PER	VEB and PER beta-lactamases (class a)	HMM	Resfams	VEB_PER_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF7449	gb|BAB41874_1|ARO_3000815|mgrA__Staphylococcus_aureus	ARO:3000815	CARD	ARDatabase	mgrA	mgrA__Staphylococcus_aureus	Protein	CARD	Efflux_Pump_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4400	DLFM10_02887|F14_TET_9|gene-2|+|649-1791|complete	RF0067	Resfams	FxnlSlxns	Erm	Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	HMM	Resfams	Erm_23S_rRNA_Methyltransferase	23S_rRNA_methyltransferase	MLS	Antibiotic_target_alteration	Yes	Yes
MF4401	DLFM10_02913|F1_AMC_22|gene-1|-|91-1596|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4402	DLFM10_02914|F1_AMC_23|gene-2|-|720-1490|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF7021	gb|CCP46065_1|ARO_3000816|mtrA__Mycobacterium_tuberculosis	ARO:3000816	CARD	ARDatabase	mtrA	determinant of antibiotic resistance	Protein	CARD	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF6636	gb|ACF30254_1|ARO_3000817|mtrR__Neisseria_gonorrhoeae	ARO:3000817	CARD	ARDatabase	mtrR	determinant of antibiotic resistance	Protein	CARD	MFS_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4405	DLFM10_02960|F6_PEN_21|gene-3|-|533-1408|complete	RF0053	Resfams	FxnlSlxns	bla_class_A	Class A beta-lactamase	HMM	Resfams	Unknown_Class_A_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4406	DLFM10_02979|F8_AMC_4|gene-1|-|70-378|complete	RF0139	Resfams	FxnlSlxns	Thymidylat_synt	PF00303.14 Thymidylate synthase	HMM	Pfam	Thymidylate_Synthase	Thymidylate_Synthase	NA	Antibiotic_target_overexpression	No	No
MF4407	DLFM10_02991|F8_AMC_23|gene-3|+|1247-2392|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4408	DLFM10_03025|F3_TET_7|gene-4|-|3145-3738|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4409	DLFM10_03035|F3_TET_33|gene-4|-|1486-1692|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4410	DLFM10_03041|F3_TET_50|gene-5|+|2450-3673|complete	RF0133	Resfams	FxnlSlxns	TetM-TetW-TetO-TetS	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein"	HMM	Resfams	tetM_tetW_tetO_tetS	Tetracycline_ribosomal_protection_protein	Tetracyclines	Antibiotic_target_protection	Yes	Yes
MF4411	DLFM10_03098|F10_TET_9|gene-4|+|1781-2485|complete	RF0012	Resfams	FxnlSlxns	Acetyl_transf	PF13302.1 Acetyltransferase (GNAT) domain	HMM	Pfam	Unknown_AAC	Aminoglycoside_acetyltransferase	Aminoglycosides	Antibiotic_inactivation	Yes	Yes
MF4412	DLFM10_03101|F10_TET_17|gene-3|-|1150-2406|complete	X92946	Resfinder	FxnlSlxns	mdtA	Resfinder|X92946|gnl|BL_ORD_ID|2574|mdt(A)_1_X92946	Protein	Resfinder	mdtABC_tolC_RND_efflux_pump	RND_efflux_pump	Multidrug_Class	Antibiotic_efflux	Yes	Yes
MF6941	gb|CAA79966_1|ARO_3003665|NmcR__Enterobacter_cloacae_	ARO:3003665	CARD	ARDatabase	NmcR	determinant of antibiotic resistance|determinant of beta-lactam resistance	Protein	CARD	NmcA_beta_lactamase_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4064	DLFM08_00221|B4_TET_3|gene-2|-|273-647|complete	RF0114	Resfams	FxnlSlxns	ramA	ramA: gene modulating antibiotic efflux	HMM	Resfams	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4415	DLFM10_03128|F18_PEN_18|gene-2|-|471-860|complete	RF0077	Resfams	FxnlSlxns	Glyoxalase	PF00903.20 Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	HMM	Pfam	Glyoxalase_Bleomycin_Resistant_Protein	Bleomycin_resistant_protein	Glycopeptides	Antibiotic_inactivation	Yes	No
MF4416	DLFM10_03148|F18_PEN_44|gene-1|-|140-1273|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4417	DLFM10_03150|F18_PEN_48|gene-5|-|1951-2913|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4418	DLFM10_03186|F13_TET_21|gene-2|+|321-1700|complete	RF0142	Resfams	FxnlSlxns	MATE_efflux	TIGR00797 matE: MATE efflux family protein	HMM	TIGRFam	MATE_efflux_pump_unclassified	MATE_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4419	DLFM10_03196|F13_TET_34|gene-2|+|446-1513|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF6717	gb|AFK13828_1|ARO_3000823|ramA__Enterobacter_cloacae_	ARO:3000823	CARD	ARDatabase	ramA	determinant of antibiotic resistance	Protein	CARD	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4421	DLFM10_03232|F13_TET_95|gene-1|-|4-1122|complete	RF0024	Resfams	FxnlSlxns	Aminotran_1_2	PF00155.16 Aminotransferase class I and II	HMM	Pfam	Unknown_Aminotransferase	Aminotransferase	NA	Other	No	No
MF4422	DLFM10_03244|F13_TET_110|gene-3|+|3035-3526|complete	RF0095	Resfams	FxnlSlxns	Methyltransf_18	PF12847.2 Methyltransferase domain	HMM	Pfam	Unknown_Methyltransferase_domain	Methyltransferase_domain	NA	Other	No	No
MF8377	DLFM02_00192|F30_CHL_36|gene-2|+|484-858|complete	RF0114	Resfams	FxnlSlxns	ramA	ramA: gene modulating antibiotic efflux	HMM	Resfams	RND_antibiotic_efflux_pump_regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4424	DLFM10_03273|F4_AMC_12|gene-4|+|2772-3932|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4425	DLFM10_03333|F14_PEN_45|gene-1|+|212-1312|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4426	DLFM10_03336|F14_PEN_49|gene-2|-|787-1536|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF4427	DLFM10_03337|F14_PEN_50|gene-1|+|39-923|complete	WP_063842905.1	NCBI-AMR	FxnlSlxns	blaSED	SED family class A beta-lactamase	HMM	NCBI-AMR	SED_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4428	DLFM10_03342|F14_PEN_56|gene-2|-|662-1267|complete	RF0038	Resfams	FxnlSlxns	beta-lactamase	PF00144.19 Beta-lactamase	HMM	Pfam	Unknown_beta_lactamase	Unclassified_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4429	DLFM10_03379|F14_ATM_5|gene-3|-|1707-2108|complete	RF0169	Resfams	FxnlSlxns	smr_efflux	PF00893.14_Small Multidrug Resistance protein	HMM	Pfam	Unknown_SMR_efflux_pump	SMR_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	Yes
MF4430	DLFM10_03412|F17_PIP_4|gene-3|+|1358-2065|complete	WP_009652647.1	NCBI-AMR	FxnlSlxns	blaOXY	OXY-5 family class A extended-spectrum beta-lactamase	HMM	NCBI-AMR	OXY_beta_lactamase	Class_A_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4431	DLFM10_03549|F19_ATM_21|gene-4|-|2336-3697|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4432	DLFM10_03553|F19_ATM_27|gene-3|+|899-1537|complete	RF0095	Resfams	FxnlSlxns	Methyltransf_18	PF12847.2 Methyltransferase domain	HMM	Pfam	Unknown_Methyltransferase_domain	Methyltransferase_domain	NA	Other	No	No
MF4433	DLFM10_03591|F22_TET_36|gene-1|+|174-1385|complete	RF0102	Resfams	FxnlSlxns	MFS_efflux	PF07690.11 Major Facilitator Superfamily	HMM	Pfam	Unknown_MFS_efflux_pump	MFS_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	No
MF4434	DLFM10_03608|F3_ATM_7|gene-2|+|837-1547|complete	WP_106672612.1	NCBI-AMR	FxnlSlxns	blaCMY	CMY-2 family class C beta-lactamase	HMM	NCBI-AMR	CMY_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4435	DLFM10_03608|F3_ATM_7|gene-3|+|1609-1983|complete	RF0038	Resfams	FxnlSlxns	beta-lactamase	PF00144.19 Beta-lactamase	HMM	Pfam	Unknown_beta_lactamase	Unclassified_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4436	DLFM10_03632|F8_PEN_10|gene-3|-|461-1387|complete	WP_039272978.1	NCBI-AMR	FxnlSlxns	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	HMM	NCBI-AMR	ACT_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4437	DLFM10_03637|F19_AMC_8|gene-1|-|121-1260|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF4438	DLFM10_03662|F13_AMC_37|gene-3|-|1470-1811|complete	RF0169	Resfams	FxnlSlxns	smr_efflux	PF00893.14_Small Multidrug Resistance protein	HMM	Pfam	Unknown_SMR_efflux_pump	SMR_efflux_pump	Multidrug_Class	Antibiotic_efflux	No	Yes
MF4439	DLFM10_03684|F6_AMC_2|gene-5|-|3355-4500|complete	RF0057	Resfams	FxnlSlxns	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	HMM	Resfams	Unknown_Class_C_beta_lactamase	Class_C_beta_lactamase	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF3964	DLFM07_04375|12F_CHL_24|gene-5|-|1761-2630|complete	RF0116	Resfams	FxnlSlxns	robA	robA: transcriptional activator of AcrAB antibiotic efflux pump	HMM	Resfams	Efflux_Pump_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4441	DLFM10_03704|F19_TET_14|gene-3|-|1943-3046|complete	RF0086	Resfams	FxnlSlxns	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain	HMM	Pfam	Unknown_Class_B_beta_lactamase	Class_B_beta_lactamase_unclassified	Beta_lactams	Antibiotic_inactivation	Yes	Yes
MF8389	DLFM06_02076|5-F2_TET_6|gene-2|-|217-1086|complete	RF0116	Resfams	FxnlSlxns	robA	robA: transcriptional activator of AcrAB antibiotic efflux pump	HMM	Resfams	Efflux_Pump_Regulator	Gene_modulating_resistance	NA	Efflux_or_operon_regulator	No	No
MF4443	DLFM10_03721|F19_TET_37|gene-5|+|2548-3738|complete	RF0140	Resfams	FxnlSlxns	Bcr_Cfla	"TIGR00710 efflux Bcr CflA: drug resistance transporter, Bcr/CflA subfamily"	HMM	TIGRFam	bcr_MFS_efflux_pump	MFS_efflux_pump	Phenicol	Antibiotic_efflux	No	Yes
MF4444	DLFM11_00001|P01SR2_ATM_6|gene-2|-|583-1317|complete	RF0008	Resfams	FxnlSlxns	ABC_efflux	PF00005.22 ABC transporter	HMM	Pfam	Unknown_ABC_Transporter	ABC_transporter	Multidrug_Class	Antibiotic_efflux	No	No
MF4445	DLFM11_00057|P12SR3_ATM_5|gene-2|+|175-1119|complete	RF0024	Resfams	FxnlSlxns	Aminotran_1_2	PF00155.16 Aminotransferase class I and II	HMM	Pfam	Unknown_Aminotransferase	Aminotransferase	NA	Other	No	No
MF4446	DLFM11_00083|P12SR3_ATM_36|gene-3|+|981-1424|complete	RF0060	Resfams	FxnlSlxns	DalaDala	PF07478.8 D-ala D-ala ligase C-terminus	HMM	Pfam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
MF4447	DLFM11_00084|P12SR3_ATM_37|gene-1|+|158-1099|complete	RF0144	Resfams	FxnlSlxns	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase	HMM	TIGRFam	Unknown_Dala_ligase	Van_ligase	Glycopeptides	Antibiotic_target_alteration	No	No
